infected_unvaccinated,infected_vaccinated,total_vaccinated
0,0,0
2,0,0
1,0,0
0,0,0
0,0,0
0,0,7822
0,0,7826
0,0,7878
2,0,7879
2,0,7886
2,0,7886
2,0,8166
4,0,8173
5,0,8216
7,0,8216
5,0,8216
5,0,8420
5,0,8421
6,0,8582
5,0,8613
7,0,8679
7,0,8679
8,0,8699
11,0,13736
11,0,13737
24,0,13737
22,0,14661
22,0,15955
21,0,15955
21,0,16107
23,0,16785
26,1,16785
31,2,16785
28,2,17014
29,2,17344
23,2,18131
19,1,18225
21,1,18230
19,0,18560
20,0,22414
17,0,23173
17,0,26903
17,0,26903
16,0,27018
17,0,27026
17,0,27026
15,0,27029
14,0,27038
13,0,27503
11,0,27519
10,0,27542
9,0,27826
8,0,27826
9,0,27922
8,0,27922
9,0,27922
9,0,28471
7,0,28471
8,0,28550
6,1,28550
6,1,28550
4,1,28582
4,1,28587
4,1,28587
5,1,28587
5,1,28813
4,1,28813
4,0,28814
3,0,29194
5,0,29441
6,0,30062
7,0,34986
6,0,37914
6,0,37947
5,0,37966
5,0,40773
4,0,40805
3,0,41217
3,0,41217
3,0,41996
3,0,42043
3,0,42067
3,0,42067
3,0,42067
3,0,42370
3,0,42373
3,0,42373
3,0,43519
3,0,44643
3,0,45701
4,0,46800
4,0,46838
3,0,46895
3,0,46895
3,0,47014
3,0,47284
3,0,47480
3,0,47485
3,0,47620
3,0,47620
4,0,47645
4,0,47645
4,0,47645
2,0,47691
2,0,47830
2,0,48015
2,0,48022
2,0,50238
1,0,50354
2,0,50361
2,0,50429
2,0,50429
2,0,50983
2,0,50983
2,0,50983
4,0,51019
4,0,55280
4,0,56742
9,0,57625
9,0,57628
8,0,57843
7,0,60397
9,0,60397
11,0,60458
15,0,60521
15,0,60523
16,0,60523
14,0,61087
14,0,61138
14,0,61168
16,0,61170
21,0,61170
16,0,61190
16,0,62149
16,0,62149
14,1,62152
16,1,62223
14,1,62245
12,1,62245
13,1,63639
14,1,63996
14,0,64356
11,0,64825
9,0,64825
9,0,68065
9,0,68118
9,0,68137
9,0,68139
9,0,68139
8,0,68364
7,0,68414
7,0,68641
7,0,70009
7,0,70014
6,0,70182
6,0,71176
5,0,71194
5,0,71197
5,0,71207
6,0,71207
6,0,71207
6,0,72991
6,0,73062
4,0,73065
4,0,73364
4,0,73680
4,0,73682
3,0,73693
3,0,75096
3,0,75096
3,0,75141
3,0,75146
4,0,75209
3,0,75764
2,0,75764
2,0,75789
2,0,75789
2,0,77925
2,0,78055
2,0,78114
3,0,78566
3,0,78577
3,0,78581
3,0,78581
3,0,78581
2,0,80026
2,0,80845
2,0,82424
2,0,82428
2,0,82428
2,0,82451
3,0,82504
3,0,82504
2,0,82841
2,0,83025
2,0,83029
1,0,83033
1,0,83034
3,0,83039
2,0,84494
2,0,84515
2,0,87581
2,0,87592
3,0,89064
3,0,89700
2,0,89764
4,0,91857
5,0,92286
5,0,92286
4,0,92724
3,0,93926
2,0,94500
1,0,94537
2,0,94561
3,0,94671
4,0,94793
5,0,94808
6,0,94816
12,2,94816
15,1,94817
21,1,94854
22,1,94854
21,0,94865
21,0,95232
18,0,95236
18,1,95328
16,0,102417
17,0,106837
18,0,106840
21,0,108056
30,0,108056
30,0,108173
29,0,108174
30,0,108174
31,0,108185
33,0,108186
32,0,108315
29,0,110882
25,0,110884
24,0,111918
22,0,111918
23,0,112821
20,0,113123
23,0,113123
21,0,113123
23,0,113123
25,0,114068
25,0,114762
20,0,115278
18,0,115402
17,0,115405
18,1,115405
18,1,115407
18,1,115530
19,1,115532
18,1,115532
19,1,115534
19,1,115757
18,1,115764
22,1,115764
21,1,115764
19,1,118022
19,1,118024
20,1,118686
20,1,118687
19,1,118687
19,1,120702
17,1,120992
15,1,121125
14,0,121126
14,0,121179
13,0,121181
11,0,121181
11,0,121191
9,0,121192
9,0,121192
9,0,121396
9,0,121396
9,0,121425
9,1,121452
7,1,123121
6,1,123216
6,1,123218
6,1,123340
6,0,123340
6,0,123494
6,0,123815
6,0,123815
8,0,123827
8,0,123827
7,0,125741
7,0,126471
7,0,126512
6,0,126642
5,0,126793
4,0,129318
4,0,129328
3,0,129329
5,0,129329
5,0,129361
5,0,130824
